,ANN_IMPST,FLG_PRES_ADESIONE,FLG_PRES_RICORSO,PESO,PESO_ADESIONE,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIMB_NON_CONC,RIMB_NON_CONC_DEF,DEBITO_IMPOSTA_AUT,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,IMP_BEN_NO_AMM,IMP_IMPOR_IMPOST,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,COD_NATURA_GIUR,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_ESISTZ,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,imp_sps_prest_lavoro,imp_tot_neg,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,Target,Cluster
8698,0.6000000000000227,1.0,0.0,0.015444015444015444,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012140926458328458,0.0,0.0008043294090493882,9.89901386388269e-06,0.019554369186143193,0.00458060814115197,0.0,0.6540629987653986,0.49388805879842923,0.4309433962264151,0.24485294117647063,0.3976041628584312,0.0969985588069428,0.25252525252525254,0.29999999999999716,0.0,1.0,1.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0037352880728342332,0.0,0.0,0.0012670497482477625,0.0011004253965103202,0.033125677445018466,0,3
7138,0.6000000000000227,1.0,0.0,0.06756756756756757,0.2962962962962963,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,8.418127477707128e-05,0.0,0.6541031344220694,0.4939974605165579,0.4058490566037736,0.19448529411764706,0.39722638589307696,0.10834012156150136,0.24242424242424243,0.3999999999999986,0.0,0.0,1.0,0.55,0.0,0.0016522256370835294,0.0,0.0,0.0,0.0,0.0036354330375410375,0.003943955727969315,0.0,7.845992404199333e-05,0.0010845803974644133,0.03312156029362849,0,0
7526,0.6000000000000227,1.0,1.0,0.05791505791505792,0.0,0.6000000000000001,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00981048741214219,0.0,0.0008043294090493882,9.89901386388269e-06,0.01352812992094673,0.029689397688380532,0.0,0.6514418063158125,0.4908794346912202,0.4066037735849056,0.1672794117647059,0.39725075860051917,0.09442947553104833,0.020202020202020204,0.10000000000000142,0.0,1.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0001899816740142871,0.0036354330375410375,0.0,0.013256057494866531,0.015790705658375207,0.0019415802604422806,0.03312156029362849,0,4
3898,0.20000000000004547,0.0,0.0,0.03474903474903475,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,1.6586307099971719e-06,0.0008043294090493882,9.89901386388269e-06,0.00735005979243998,0.0022475486254893086,0.0,0.6540481874792248,0.4941151676291752,0.580754716981132,0.24276960784313728,0.3927722736080138,0.06830001879817033,0.020202020202020204,0.29999999999999716,1.0,1.0,0.0,0.25000000000000006,0.00013190118611338826,0.0,0.0,0.0,0.0004959191030652309,0.0,0.0036415709313470596,0.0,0.0,0.000436198293068154,0.0011354138564617627,0.033219945330578884,0,1
972,0.6000000000000227,1.0,1.0,0.03861003861003861,0.0,0.6000000000000001,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010841315253613884,0.0,0.0008043294090493882,9.89901386388269e-06,0.008040167216390792,0.001848165400831259,4.849891613621792e-06,0.654084118697332,0.49411291116730555,0.580754716981132,0.24460784313725495,0.39333284587918455,0.12012030828999312,0.24242424242424243,0.44999999999999574,0.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0037432321534050773,0.0,0.0,0.0003028650279534265,0.001108333546058695,0.03322134913039016,0,4
150,0.20000000000004547,1.0,0.0,0.10424710424710425,0.0,0.4,0.5588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00983495783479801,0.0,0.0008043294090493882,9.89901386388269e-06,5.1694793936598326e-05,0.001858719223039243,0.0,0.6541082354099437,0.49400343686043274,0.3920754716981132,0.20563725490196083,0.3967815839822567,0.11404223322263302,0.24242424242424243,0.6999999999999957,0.0,1.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.00021704312114989734,0.0001241237533262966,0.0010873482324574978,0.03312156029362849,0,3
6078,1.0,1.0,0.0,0.10231660231660232,0.0,0.6000000000000001,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.003415832922425997,0.014106970051659713,0.0,0.6543360907998425,0.49427039341812906,0.40962264150943395,0.2368872549019608,0.397348249430288,0.13002067798734257,0.020202020202020204,0.0,0.0,1.0,0.0,0.35000000000000003,0.0001685272038745561,0.0,0.0021057672193700743,0.0011585336374703885,0.0,0.0002275298876914498,0.0036354330375410375,0.0,0.0,0.004992322848645255,0.001194293115713549,0.03312156029362849,0,3
154,0.4000000000000341,0.0,0.0,0.10231660231660232,0.0,0.6000000000000001,0.5294117647058824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.0,0.0,1.916033413273901e-05,0.6540900201519966,0.4940233063793936,0.580754716981132,0.2450980392156863,0.39740308802203295,0.13064728366439002,0.24242424242424243,0.14999999999999858,0.0,1.0,1.0,0.25000000000000006,0.0001695183806295386,0.0,0.0,0.0,0.0,0.0,0.0036354330375410375,0.0,0.0,0.00023021221273358266,0.0010963589259939666,0.03313565285639828,0,1
9067,0.4000000000000341,1.0,1.0,0.02316602316602317,0.0,0.4,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0008043294090493882,9.89901386388269e-06,0.010448493910136372,0.02040810051559992,0.0,0.6533747321725422,0.4931250338687629,0.580566037735849,0.2450980392156863,0.4028686676659477,0.1315245316122564,0.020202020202020204,0.9499999999999957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036482903387614948,0.0,0.01324435318275154,0.0036622902725555015,0.0010829717132676052,0.03312156029362849,1,4
6471,0.6000000000000227,0.0,1.0,0.10231660231660232,0.0,0.6000000000000001,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009770786935533304,0.0,0.0013138248454464753,9.89901386388269e-06,0.0,0.00054987906732466,0.0,0.6540506286378801,0.49391207558018296,0.570754716981132,0.2450980392156863,0.4014611438111603,0.12024562942540261,0.020202020202020204,0.8999999999999986,0.0,1.0,0.0,0.4,4.819427249055244e-05,0.0,0.00031634898192183517,0.0013791648537109557,0.0,0.00010989809219658494,0.0036921606520325424,0.0,0.0,0.0012171137287727148,0.0011931141376639687,0.03312156029362849,0,4
